current_season_end	current_season_start	distance_map	mean_distance	other_season_end	other_season_start	replicate	total_comparisons	total_distance	filename
2017-07-01	2016-07-01	stem	3.75	2019-07-01	2018-07-01	0	369639	1387116.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2018-07-01	2017-07-01	stem	2.33	2018-07-01	2017-07-01	0	367236	853888.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2018-07-01	2017-07-01	stem	3.32	2019-07-01	2018-07-01	0	365418	1214888.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2018-07-01	2017-07-01	stem	3.35	2020-07-01	2019-07-01	0	92112	308691.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2019-07-01	2018-07-01	stem	3.51	2019-07-01	2018-07-01	0	363609	1276546.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2019-07-01	2018-07-01	stem	3.37	2020-07-01	2019-07-01	0	91656	308980.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
2020-07-01	2019-07-01	stem	2.65	2020-07-01	2019-07-01	0	23104	61234.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	stem_ep	0.0	1997-07-01	1996-07-01	0	1936	0.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	stem_ep	0.03	1998-07-01	1997-07-01	0	7568	264.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1997-07-01	1996-07-01	stem_ep	0.28	1999-07-01	1998-07-01	0	9636	2684.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	stem_ep	0.07	1998-07-01	1997-07-01	0	29584	2048.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
1998-07-01	1997-07-01	stem_ep	0.31	1999-07-01	1998-07-01	0	37668	11636.0	results/north-america_mean_seasonal_distances_h3n2_ha_21y.tsv
